geocod;geodsg;sinal_conv;sinal_conv_desc;valor;periodo;indicador_cod;indicador_dsg
2004602;Madalena;&;Dado provisório;3.5;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
3003107;Ribeira Brava;&;Dado provisório;3.5;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1111605;Paredes de Coura;&;Dado provisório;3.6;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1500809;Monchique;&;Dado provisório;3.6;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16D0115;Ovar;&;Dado provisório;3.6;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16F1002;Alvaiázere;&;Dado provisório;3.6;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16F1008;Figueiró dos Vinhos;&;Dado provisório;3.6;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16G1810;Oliveira de Frades;&;Dado provisório;3.6;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16I1420;Vila Nova da Barquinha;&;Dado provisório;3.6;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1861209;Gavião;&;Dado provisório;3.6;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1861215;Sousel;&;Dado provisório;3.6;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1870711;Reguengos de Monsaraz;&;Dado provisório;3.6;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
11A0113;Oliveira de Azeméis;&;Dado provisório;3.7;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1500812;São Brás de Alportel;&;Dado provisório;3.7;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16D0108;Estarreja;&;Dado provisório;3.7;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16F1004;Batalha;&;Dado provisório;3.7;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1840202;Almodôvar;&;Dado provisório;3.7;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
11D1820;Tarouca;&;Dado provisório;3.8;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16I0509;Sertã;&;Dado provisório;3.8;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1840210;Moura;&;Dado provisório;3.8;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1870704;Estremoz;&;Dado provisório;3.8;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1120310;Terras de Bouro;&;Dado provisório;3.9;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
11D1812;Penedono;&;Dado provisório;3.9;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16B;Oeste;&;Dado provisório;3.9;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16D0101;Águeda;&;Dado provisório;3.9;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16G1806;Mangualde;&;Dado provisório;3.9;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16I1417;Sardoal;&;Dado provisório;3.9;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1861204;Campo Maior;&;Dado provisório;3.9;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
11A1306;Maia;&;Dado provisório;4;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
11A1318;Trofa;&;Dado provisório;4;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
11D1818;Sernancelhe;&;Dado provisório;4;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16G1802;Carregal do Sal;&;Dado provisório;4;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1840208;Ferreira do Alentejo;&;Dado provisório;4;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1111602;Caminha;&;Dado provisório;4.1;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1190309;Póvoa de Lanhoso;&;Dado provisório;4.1;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
11C1302;Baião;&;Dado provisório;4.1;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
11C1303;Felgueiras;&;Dado provisório;4.1;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16E0611;Oliveira do Hospital;&;Dado provisório;4.1;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16E0617;Vila Nova de Poiares;&;Dado provisório;4.1;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1870707;Mora;&;Dado provisório;4.1;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
2004205;Ribeira Grande;&;Dado provisório;4.1;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1111610;Vila Nova de Cerveira;&;Dado provisório;4.2;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1120306;Esposende;&;Dado provisório;4.2;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
11D1711;Santa Marta de Penaguião;&;Dado provisório;4.2;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16G1814;Santa Comba Dão;&;Dado provisório;4.2;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16J0909;Mêda;&;Dado provisório;4.2;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1840214;Vidigueira;&;Dado provisório;4.2;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1861212;Nisa;&;Dado provisório;4.2;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1111603;Melgaço;&;Dado provisório;4.3;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
11A1304;Gondomar;&;Dado provisório;4.3;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
11A1310;Paredes;&;Dado provisório;4.3;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16E0601;Arganil;&;Dado provisório;4.3;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16G1803;Castro Daire;&;Dado provisório;4.3;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16J0906;Gouveia;&;Dado provisório;4.3;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
2004204;Povoação;&;Dado provisório;4.3;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
3003101;Calheta;&;Dado provisório;4.3;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1111604;Monção;&;Dado provisório;4.4;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1190314;Vizela;&;Dado provisório;4.4;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
11A1315;Valongo;&;Dado provisório;4.4;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
11A1316;Vila do Conde;&;Dado provisório;4.4;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
11C0305;Celorico de Basto;&;Dado provisório;4.4;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
11C1307;Marco de Canaveses;&;Dado provisório;4.4;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
11C1309;Paços de Ferreira;&;Dado provisório;4.4;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
11D1807;Moimenta da Beira;&;Dado provisório;4.4;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16D0103;Anadia;&;Dado provisório;4.4;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16I1410;Entroncamento;&;Dado provisório;4.4;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16J0504;Fundão;&;Dado provisório;4.4;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1861205;Castelo de Vide;&;Dado provisório;4.4;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
3003102;Câmara de Lobos;&;Dado provisório;4.4;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
3003106;Porto Moniz;&;Dado provisório;4.4;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
11C1305;Lousada;&;Dado provisório;4.5;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16F1015;Pombal;&;Dado provisório;4.5;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1870706;Montemor-o-Novo;&;Dado provisório;4.5;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1870713;Viana do Alentejo;&;Dado provisório;4.5;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
11D1701;Alijó;&;Dado provisório;4.6;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16G1809;Nelas;&;Dado provisório;4.6;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1851407;Chamusca;&;Dado provisório;4.6;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1851412;Golegã;&;Dado provisório;4.6;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16E0606;Góis;&;Dado provisório;4.7;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16E0608;Mira;&;Dado provisório;4.7;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16F1013;Pedrógão Grande;&;Dado provisório;4.7;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1701107;Loures;&;Dado provisório;4.7;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
2004202;Nordeste;&;Dado provisório;4.7;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1111601;Arcos de Valdevez;&;Dado provisório;4.8;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16G1811;Penalva do Castelo;&;Dado provisório;4.8;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1840213;Serpa;&;Dado provisório;4.8;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1120313;Vila Verde;&;Dado provisório;4.9;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
11A0116;São João da Madeira;&;Dado provisório;4.9;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16G1816;São Pedro do Sul;&;Dado provisório;4.9;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16H0505;Idanha-a-Nova;&;Dado provisório;4.9;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
181;Alentejo Litoral;&;Dado provisório;4.9;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
11D0403;Carrazeda de Ansiães;&;Dado provisório;5;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
11D0409;Torre de Moncorvo;&;Dado provisório;5;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16E1808;Mortágua;&;Dado provisório;5;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
16J0501;Belmonte;&;Dado provisório;5;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1701105;Cascais;&;Dado provisório;5;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1840206;Castro Verde;&;Dado provisório;5;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1861201;Alter do Chão;&;Dado provisório;5;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
1861208;Fronteira;&;Dado provisório;5;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
11E0410;Vila Flor;&;Dado provisório;5.1;2022;0008277;"Enfermeiras/os por 1000 habitantes (N.º) por Local de trabalho (NUTS - 2013); Anual - INE, Estatísticas do pessoal de saúde"
