geocod;geodsg;dim_3;dim_3_t;valor;periodo;sinal_conv;sinal_conv_desc;indicador_cod;indicador_dsg
1;Continente;2;M;7.1;2.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
2;Região Autónoma dos Açores;2;M;6.1;2.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
PT;Portugal;2;M;7.1;2.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
3;Região Autónoma da Madeira;2;M;7.8;2.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
11;Norte;T;HM;6.8;2.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
15;Algarve;T;HM;6.3;2.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
19;Centro;T;HM;5.5;2.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1A;Grande Lisboa;T;HM;7.4;2.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1B;Península de Setúbal;T;HM;8.7;2.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1C;Alentejo;T;HM;5.2;2.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1D;Oeste e Vale do Tejo;T;HM;5.6;2.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
20;Região Autónoma dos Açores;T;HM;5.6;2.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
30;Região Autónoma da Madeira;T;HM;6.9;2.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1;Continente;T;HM;6.7;2.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
2;Região Autónoma dos Açores;T;HM;5.6;2.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
PT;Portugal;T;HM;6.7;2.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
3;Região Autónoma da Madeira;T;HM;6.9;2.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
11;Norte;1;H;6.3;3.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
15;Algarve;1;H;5.4;3.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
19;Centro;1;H;6.1;3.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1A;Grande Lisboa;1;H;6.5;3.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1B;Península de Setúbal;1;H;8;3.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1C;Alentejo;1;H;4.9;3.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1D;Oeste e Vale do Tejo;1;H;5.7;3.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
20;Região Autónoma dos Açores;1;H;5.1;3.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
30;Região Autónoma da Madeira;1;H;6.2;3.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1;Continente;1;H;6.3;3.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
2;Região Autónoma dos Açores;1;H;5.1;3.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
PT;Portugal;1;H;6.2;3.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
3;Região Autónoma da Madeira;1;H;6.2;3.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
11;Norte;2;M;7.3;3.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
15;Algarve;2;M;7.3;3.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
19;Centro;2;M;4.9;3.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1A;Grande Lisboa;2;M;8.2;3.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1B;Península de Setúbal;2;M;9.4;3.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1C;Alentejo;2;M;5.5;3.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1D;Oeste e Vale do Tejo;2;M;;3.º Trimestre de 2015;x;Dado não disponível;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
20;Região Autónoma dos Açores;2;M;6.1;3.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
30;Região Autónoma da Madeira;2;M;7.8;3.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1;Continente;2;M;7.1;3.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
2;Região Autónoma dos Açores;2;M;6.1;3.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
PT;Portugal;2;M;7.1;3.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
3;Região Autónoma da Madeira;2;M;7.8;3.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
11;Norte;T;HM;6.8;3.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
15;Algarve;T;HM;6.3;3.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
19;Centro;T;HM;5.5;3.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1A;Grande Lisboa;T;HM;7.4;3.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1B;Península de Setúbal;T;HM;8.7;3.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1C;Alentejo;T;HM;5.2;3.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1D;Oeste e Vale do Tejo;T;HM;5.6;3.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
20;Região Autónoma dos Açores;T;HM;5.6;3.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
30;Região Autónoma da Madeira;T;HM;6.9;3.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1;Continente;T;HM;6.7;3.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
2;Região Autónoma dos Açores;T;HM;5.6;3.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
PT;Portugal;T;HM;6.7;3.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
3;Região Autónoma da Madeira;T;HM;6.9;3.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
11;Norte;1;H;6.3;4.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
15;Algarve;1;H;5.4;4.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
19;Centro;1;H;6.1;4.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1A;Grande Lisboa;1;H;6.5;4.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1B;Península de Setúbal;1;H;8;4.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1C;Alentejo;1;H;4.9;4.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1D;Oeste e Vale do Tejo;1;H;5.7;4.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
20;Região Autónoma dos Açores;1;H;5.1;4.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
30;Região Autónoma da Madeira;1;H;6.2;4.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1;Continente;1;H;6.3;4.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
2;Região Autónoma dos Açores;1;H;5.1;4.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
PT;Portugal;1;H;6.2;4.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
3;Região Autónoma da Madeira;1;H;6.2;4.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
11;Norte;2;M;7.3;4.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
15;Algarve;2;M;7.3;4.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
19;Centro;2;M;4.9;4.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1A;Grande Lisboa;2;M;8.2;4.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1B;Península de Setúbal;2;M;9.4;4.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1C;Alentejo;2;M;5.5;4.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1D;Oeste e Vale do Tejo;2;M;;4.º Trimestre de 2015;x;Dado não disponível;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
20;Região Autónoma dos Açores;2;M;6.1;4.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
30;Região Autónoma da Madeira;2;M;7.8;4.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1;Continente;2;M;7.1;4.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
2;Região Autónoma dos Açores;2;M;6.1;4.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
PT;Portugal;2;M;7.1;4.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
3;Região Autónoma da Madeira;2;M;7.8;4.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
11;Norte;T;HM;6.8;4.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
15;Algarve;T;HM;6.3;4.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
19;Centro;T;HM;5.5;4.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1A;Grande Lisboa;T;HM;7.4;4.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1B;Península de Setúbal;T;HM;8.7;4.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1C;Alentejo;T;HM;5.2;4.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1D;Oeste e Vale do Tejo;T;HM;5.6;4.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
20;Região Autónoma dos Açores;T;HM;5.6;4.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
30;Região Autónoma da Madeira;T;HM;6.9;4.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1;Continente;T;HM;6.7;4.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
2;Região Autónoma dos Açores;T;HM;5.6;4.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
PT;Portugal;T;HM;6.7;4.º Trimestre de 2015;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
3;Região Autónoma da Madeira;T;HM;6.9;4.º Trimestre de 2015;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
11;Norte;1;H;6.3;1.º Trimestre de 2016;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
15;Algarve;1;H;5.4;1.º Trimestre de 2016;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
19;Centro;1;H;6.1;1.º Trimestre de 2016;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1A;Grande Lisboa;1;H;6.5;1.º Trimestre de 2016;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1B;Península de Setúbal;1;H;8;1.º Trimestre de 2016;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1C;Alentejo;1;H;4.9;1.º Trimestre de 2016;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1D;Oeste e Vale do Tejo;1;H;5.7;1.º Trimestre de 2016;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
20;Região Autónoma dos Açores;1;H;5.1;1.º Trimestre de 2016;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
30;Região Autónoma da Madeira;1;H;6.2;1.º Trimestre de 2016;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
1;Continente;1;H;6.3;1.º Trimestre de 2016;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
2;Região Autónoma dos Açores;1;H;5.1;1.º Trimestre de 2016;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
PT;Portugal;1;H;6.2;1.º Trimestre de 2016;;;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
3;Região Autónoma da Madeira;1;H;6.2;1.º Trimestre de 2016;§;Desvio do padrão de qualidade/Coeficiente de variação elevado;0012136;"Taxa de desemprego (Série 2021 - %) por Local de residência (NUTS - 2024) e Sexo; Trimestral - INE, Inquérito ao emprego (Séries - 2021)"
